HOUSEID,PERSONID,WHYFROM,TRIPPURP,WHYTRP1S,WHYTO,HHFAMINC,WRKCOUNT,URBRUR,R_AGE,DRIVER,WRKTRANS,NWALKTRP,NBIKETRP,CARSHARE,TIMETOWK,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,CNTTDTR,GCDWORK,DISTTOWK17,DISTTOSC17,BIKE,CAR,BUS,TRAIN,WEBUSE,HHSIZE,WEBUSE.1,HHFAMINC2
30020822,1,7,1,8,12,3,2,0,35,0,1,7,0,0,45,0,1,1,2,5,7.25,10.95,-9.0,2,0,0,0,1,2,0,2
30020822,1,12,4,2,3,3,2,0,35,0,1,7,0,0,45,0,1,1,2,5,7.25,10.95,-9.0,2,0,0,0,1,2,0,2
30020822,2,0,3,6,14,3,2,0,45,0,3,6,0,0,-1,0,3,3,2,5,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,2
30020822,2,14,1,1,1,3,2,0,45,0,3,6,0,0,-1,0,3,3,2,5,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,2
30020822,2,2,1,1,2,3,2,0,45,0,3,6,0,0,-1,0,3,3,2,5,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,2
30020822,2,3,1,1,5,3,2,0,45,0,3,6,0,0,-1,0,3,3,2,5,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,2
30020822,2,5,2,2,3,3,2,0,45,0,3,6,0,0,-1,0,3,3,2,5,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,2
30020915,1,0,4,8,12,7,2,0,56,0,1,3,1,0,90,0,1,1,4,5,68.16,77.84,-9.0,2,0,0,0,1,2,0,2
30020915,1,12,4,2,3,7,2,0,56,0,1,3,1,0,90,0,1,1,4,5,68.16,77.84,-9.0,2,0,0,0,1,2,0,2
30020915,1,0,0,0,6,7,2,0,56,0,1,3,1,0,90,0,1,1,4,5,68.16,77.84,-9.0,2,0,0,0,1,2,0,2
30020915,1,6,1,3,7,7,2,0,56,0,1,3,1,0,90,0,1,1,4,5,68.16,77.84,-9.0,2,0,0,0,1,2,0,2
30020915,1,7,2,2,3,7,2,0,56,0,1,3,1,0,90,0,1,1,4,5,68.16,77.84,-9.0,2,0,0,0,1,2,0,2
30020915,2,0,2,3,7,7,2,0,57,0,3,3,1,0,-1,0,3,3,5,7,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,2
