HOUSEID,PERSONID,URBRUR,WHYFROM,DRIVER,WHYTO,WHYTRP1S,HHFAMINC,TRIPPURP,WRKCOUNT,R_AGE,USULDRV,WEBUSE,WKFMHMXX,WRKTRANS,GCDWORK,CNTTDTR,NWALKTRP,NBIKETRP,DISTTOWK,TIMETOWK,HHSIZE
10061523,2,1,51,1,1,12,18,3,0,40,-1,1,-1,-1,-1,9,5,0,-9,-1,4
10061523,2,1,1,1,41,6,18,2,0,40,-1,1,-1,-1,-1,9,5,0,-9,-1,4
10061523,2,1,41,1,1,12,18,2,0,40,-1,1,-1,-1,-1,9,5,0,-9,-1,4
10061523,2,1,1,1,71,10,18,4,0,40,-1,1,-1,-1,-1,9,5,0,-9,-1,4
10061523,2,1,71,1,1,12,18,4,0,40,-1,1,-1,-1,-1,9,5,0,-9,-1,4
10061523,2,1,1,1,41,6,18,2,0,40,-1,1,-1,-1,-1,9,5,0,-9,-1,4
10061523,2,1,41,1,1,12,18,2,0,40,-1,1,-1,-1,-1,9,5,0,-9,-1,4
10061523,3,1,1,-1,21,3,18,4,0,9,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,4
10061523,3,1,21,-1,1,12,18,4,0,9,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,4
10061523,3,1,1,-1,23,3,18,4,0,9,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,4
10061523,3,1,23,-1,1,12,18,4,0,9,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,4
10061523,4,1,1,-1,21,3,18,4,0,6,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,4
10061523,4,1,21,-1,1,12,18,4,0,6,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,4
10061523,4,1,1,-1,23,3,18,4,0,6,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,4
10061523,4,1,23,-1,1,12,18,4,0,6,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,4
10061895,1,1,1,1,22,4,7,4,1,37,1,3,-1,2,19,4,5,0,25,30,3
10061895,1,1,22,1,1,12,7,4,1,37,1,3,-1,2,19,4,5,0,25,30,3
10061895,1,1,1,1,41,6,7,2,1,37,1,3,-1,2,19,4,5,0,25,30,3
10061895,1,1,41,1,1,12,7,2,1,37,1,3,-1,2,19,4,5,0,25,30,3
10061895,2,1,60,-1,60,7,7,5,1,11,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,3
10061895,2,1,60,-1,41,6,7,5,1,11,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,3
10061895,2,1,41,-1,1,12,7,2,1,11,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,3
10061895,3,1,-8,-1,1,12,7,4,1,7,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,3
10061895,3,1,1,-1,41,6,7,2,1,7,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,3
10061895,3,1,41,-1,1,12,7,2,1,7,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,3
10062016,1,1,1,1,21,3,4,4,2,24,1,1,2,1,3,2,21,0,3,15,3
10062016,1,1,21,1,1,12,4,4,2,24,1,1,2,1,3,2,21,0,3,15,3
10062016,2,1,1,1,21,3,4,4,2,25,-1,1,-1,-1,-1,5,0,0,-9,-1,3
10062016,2,1,21,1,1,12,4,4,2,25,-1,1,-1,-1,-1,5,0,0,-9,-1,3
10062016,2,1,1,1,53,8,4,3,2,25,-1,1,-1,-1,-1,5,0,0,-9,-1,3
10062016,2,1,53,1,54,8,4,5,2,25,-1,1,-1,-1,-1,5,0,0,-9,-1,3
10062016,2,1,54,1,1,12,4,3,2,25,-1,1,-1,-1,-1,5,0,0,-9,-1,3
10062016,3,1,1,1,71,10,4,4,2,23,1,1,2,1,3,7,1,1,4,10,3
10062016,3,1,71,1,73,10,4,5,2,23,1,1,2,1,3,7,1,1,4,10,3
10062016,3,1,73,1,1,12,4,4,2,23,1,1,2,1,3,7,1,1,4,10,3
10062016,3,1,1,1,23,3,4,4,2,23,1,1,2,1,3,7,1,1,4,10,3
10062016,3,1,23,1,1,12,4,4,2,23,1,1,2,1,3,7,1,1,4,10,3
10062016,3,1,1,1,23,3,4,4,2,23,1,1,2,1,3,7,1,1,4,10,3
10062016,3,1,23,1,53,8,4,5,2,23,1,1,2,1,3,7,1,1,4,10,3
10068652,1,1,1,1,73,10,17,4,3,47,1,1,-1,3,21,3,0,0,30,60,4
10068652,1,1,73,1,11,1,17,5,3,47,1,1,-1,3,21,3,0,0,30,60,4
10068652,1,1,11,1,1,12,17,1,3,47,1,1,-1,3,21,3,0,0,30,60,4
10068652,2,1,1,1,11,1,17,1,3,40,1,-1,-1,1,11,2,0,0,-9,45,4
10068652,2,1,11,1,1,12,17,1,3,40,1,-1,-1,1,11,2,0,0,-9,45,4
10068652,3,1,1,1,14,2,17,4,3,25,1,2,-1,1,6,4,5,0,-9,15,4
10068652,3,1,14,1,14,2,17,5,3,25,1,2,-1,1,6,4,5,0,-9,15,4
10068652,3,1,14,1,14,2,17,5,3,25,1,2,-1,1,6,4,5,0,-9,15,4
10068652,3,1,14,1,1,12,17,4,3,25,1,2,-1,1,6,4,5,0,-9,15,4
10068652,4,1,1,2,21,3,17,4,3,15,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,4
10068652,4,1,21,2,1,12,17,4,3,15,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,4
10076143,1,2,1,1,11,1,9,1,1,62,1,-1,-1,1,1,4,2,0,2,10,2
10076143,1,2,11,1,13,2,9,5,1,62,1,-1,-1,1,1,4,2,0,2,10,2
10076143,1,2,13,1,12,11,9,5,1,62,1,-1,-1,1,1,4,2,0,2,10,2
10076143,1,2,12,1,1,12,9,1,1,62,1,-1,-1,1,1,4,2,0,2,10,2
10076143,2,2,1,1,41,6,9,2,1,67,-1,-1,-1,-1,-1,2,0,0,-9,-1,2
