HOUSEID,PERSONID,WHYFROM,TRIPPURP,WHYTRP1S,WHYTO,HHFAMINC,WRKCOUNT,URBRUR,R_AGE,DRIVER,WRKTRANS,NWALKTRP,NBIKETRP,CARSHARE,TIMETOWK,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,CNTTDTR,GCDWORK,DISTTOWK17,DISTTOSC17,BIKE,CAR,BUS,TRAIN,WEBUSE17,HHSIZE
30020822,2,1,HBO,20,8,7,2,1,45,1,-9,6,0,0,-1,-1,-1,-1,2,5,-9,-9,-9,4,1,5,5,1,2
30020822,2,8,NHB,40,14,7,2,1,45,1,-9,6,0,0,-1,-1,-1,-1,2,5,-9,-9,-9,4,1,5,5,1,2
30020822,2,14,NHB,40,11,7,2,1,45,1,-9,6,0,0,-1,-1,-1,-1,2,5,-9,-9,-9,4,1,5,5,1,2
30020822,2,11,NHB,40,12,7,2,1,45,1,-9,6,0,0,-1,-1,-1,-1,2,5,-9,-9,-9,4,1,5,5,1,2
30020822,2,12,HBSHOP,1,1,7,2,1,45,1,-9,6,0,0,-1,-1,-1,-1,2,5,-9,-9,-9,4,1,5,5,1,2
30020915,1,1,HBW,10,3,11,2,1,56,1,3,3,1,0,90,-1,-1,-1,4,5,68.16,77.84,-9,4,1,5,5,1,2
30020915,1,3,HBW,1,1,11,2,1,56,1,3,3,1,0,90,-1,-1,-1,4,5,68.16,77.84,-9,4,1,5,5,1,2
30020915,1,1,HBSOCREC,50,15,11,2,1,56,1,3,3,1,0,90,-1,-1,-1,4,5,68.16,77.84,-9,4,1,5,5,1,2
30020915,1,15,NHB,80,13,11,2,1,56,1,3,3,1,0,90,-1,-1,-1,4,5,68.16,77.84,-9,4,1,5,5,1,2
30020915,1,13,HBSHOP,1,1,11,2,1,56,1,3,3,1,0,90,-1,-1,-1,4,5,68.16,77.84,-9,4,1,5,5,1,2
30020915,2,1,HBSHOP,80,13,11,2,1,57,1,-9,3,1,0,-1,-1,-1,-1,5,7,-9,-9,-9,4,1,5,5,1,2
30020915,2,13,HBSHOP,1,2,11,2,1,57,1,-9,3,1,0,-1,-1,-1,-1,5,7,-9,-9,-9,4,1,5,5,1,2
30020915,2,2,HBW,10,4,11,2,1,57,1,-9,3,1,0,-1,-1,-1,-1,5,7,-9,-9,-9,4,1,5,5,1,2
30020915,2,4,HBW,1,1,11,2,1,57,1,-9,3,1,0,-1,-1,-1,-1,5,7,-9,-9,-9,4,1,5,5,1,2
30020915,2,1,HBSOCREC,50,15,11,2,1,57,1,-9,3,1,0,-1,-1,-1,-1,5,7,-9,-9,-9,4,1,5,5,1,2
30020915,2,15,NHB,80,13,11,2,1,57,1,-9,3,1,0,-1,-1,-1,-1,5,7,-9,-9,-9,4,1,5,5,1,2
30020915,2,13,HBSHOP,1,1,11,2,1,57,1,-9,3,1,0,-1,-1,-1,-1,5,7,-9,-9,-9,4,1,5,5,1,2
30021637,1,1,HBO,70,6,10,1,1,60,1,3,4,0,0,60,-1,-1,-1,0,7,13.87,19.88,-9,5,1,5,5,1,1
30021637,1,6,NHB,10,3,10,1,1,60,1,3,4,0,0,60,-1,-1,-1,0,7,13.87,19.88,-9,5,1,5,5,1,1
30021637,1,3,NHB,80,13,10,1,1,60,1,3,4,0,0,60,-1,-1,-1,0,7,13.87,19.88,-9,5,1,5,5,1,1
30021637,1,13,NHB,10,3,10,1,1,60,1,3,4,0,0,60,-1,-1,-1,0,7,13.87,19.88,-9,5,1,5,5,1,1
30021637,1,3,NHB,70,6,10,1,1,60,1,3,4,0,0,60,-1,-1,-1,0,7,13.87,19.88,-9,5,1,5,5,1,1
30021637,1,6,NHB,80,13,10,1,1,60,1,3,4,0,0,60,-1,-1,-1,0,7,13.87,19.88,-9,5,1,5,5,1,1
30021637,1,13,HBSHOP,1,1,10,1,1,60,1,3,4,0,0,60,-1,-1,-1,0,7,13.87,19.88,-9,5,1,5,5,1,1
30021732,1,1,HBW,10,4,7,1,1,64,1,-1,2,0,0,-1,-1,-1,-1,3,2,-9,-9,-9,4,1,5,5,1,2
30021732,1,4,HBW,1,1,7,1,1,64,1,-1,2,0,0,-1,-1,-1,-1,3,2,-9,-9,-9,4,1,5,5,1,2
30021736,1,1,HBW,10,3,2,1,1,59,1,3,7,1,0,12,-1,-1,-1,3,4,2.97,3.86,-9,3,-1,5,5,1,1
30021736,1,3,NHB,50,16,2,1,1,59,1,3,7,1,0,12,-1,-1,-1,3,4,2.97,3.86,-9,3,-1,5,5,1,1
30021736,1,16,NHB,40,12,2,1,1,59,1,3,7,1,0,12,-1,-1,-1,3,4,2.97,3.86,-9,3,-1,5,5,1,1
30021736,1,12,HBSHOP,1,1,2,1,1,59,1,3,7,1,0,12,-1,-1,-1,3,4,2.97,3.86,-9,3,-1,5,5,1,1
30021764,1,1,HBSHOP,40,11,7,2,2,35,1,-9,2,0,0,-1,-1,-1,-1,15,3,-9,-9,-9,3,1,5,5,1,5
30021764,1,11,NHB,40,11,7,2,2,35,1,-9,2,0,0,-1,-1,-1,-1,15,3,-9,-9,-9,3,1,5,5,1,5
30021764,1,11,HBSHOP,1,1,7,2,2,35,1,-9,2,0,0,-1,-1,-1,-1,15,3,-9,-9,-9,3,1,5,5,1,5
30021764,3,1,HBSHOP,40,11,7,2,2,5,-1,-1,7,3,-1,-1,-1,-1,-1,-1,3,-9,-9,-9,3,1,5,5,1,5
30021764,3,11,NHB,40,11,7,2,2,5,-1,-1,7,3,-1,-1,-1,-1,-1,-1,3,-9,-9,-9,3,1,5,5,1,5
30021764,3,11,HBSHOP,1,1,7,2,2,5,-1,-1,7,3,-1,-1,-1,-1,-1,-1,3,-9,-9,-9,3,1,5,5,1,5
30021764,4,1,HBSHOP,40,11,7,2,2,5,-1,-1,7,3,-1,-1,-1,-1,-1,-1,3,-9,-9,-9,3,1,5,5,1,5
30021764,4,11,NHB,40,11,7,2,2,5,-1,-1,7,3,-1,-1,-1,-1,-1,-1,3,-9,-9,-9,3,1,5,5,1,5
30021764,4,11,HBSHOP,1,1,7,2,2,5,-1,-1,7,3,-1,-1,-1,-1,-1,-1,3,-9,-9,-9,3,1,5,5,1,5
