R_AGE,DRIVER,TIMETOWK,NBIKETRP,NWALKTRP,URBRUR,WHYTRP1S,HOUSEID,GCDWORK,PERSONID,WHYTO,WHYFROM,HHSIZE,WRKTRANS,CNTTDTR,WRKCOUNT,HHFAMINC,WEBUSE,TRIPPURP,WKFMHMXX,HHFAMINC2
47,0,-5,0,0,0,2,10087756,4,1,2,0,1,1,3,1,0,1,4,4,0
47,0,-5,0,0,0,10,10087756,4,1,16,3,1,1,3,1,0,1,1,4,0
47,0,-5,0,0,0,3,10087756,4,1,3,16,1,1,3,1,0,1,2,4,0
63,0,-1,0,7,0,6,10094745,-1,1,22,0,2,1,8,0,14,1,3,0,1
63,0,-1,0,7,0,6,10094745,-1,1,21,22,2,1,8,0,14,1,1,0,1
63,0,-1,0,7,0,0,10094745,-1,1,0,21,2,1,8,0,14,1,1,0,1
63,0,-1,0,7,0,4,10094745,-1,1,12,1,2,1,8,0,14,1,1,0,1
63,0,-1,0,7,0,5,10094745,-1,1,6,12,2,1,8,0,14,1,1,0,1
63,0,-1,0,7,0,3,10094745,-1,1,3,6,2,1,8,0,14,1,0,0,1
63,0,-1,0,7,0,6,10094745,-1,1,21,0,2,1,8,0,14,1,3,0,1
63,0,-1,0,7,0,3,10094745,-1,1,3,21,2,1,8,0,14,1,3,0,1
58,0,-1,0,4,0,5,10094745,-1,2,6,0,2,1,9,0,14,4,0,0,1
58,0,-1,0,4,0,3,10094745,-1,2,3,6,2,1,9,0,14,4,0,0,1
58,0,-1,0,4,0,6,10094745,-1,2,21,0,2,1,9,0,14,4,3,0,1
58,0,-1,0,4,0,0,10094745,-1,2,0,21,2,1,9,0,14,4,1,0,1
58,0,-1,0,4,0,4,10094745,-1,2,12,1,2,1,9,0,14,4,1,0,1
58,0,-1,0,4,0,5,10094745,-1,2,6,12,2,1,9,0,14,4,1,0,1
58,0,-1,0,4,0,3,10094745,-1,2,3,6,2,1,9,0,14,4,0,0,1
58,0,-1,0,4,0,6,10094745,-1,2,21,0,2,1,9,0,14,4,3,0,1
58,0,-1,0,4,0,3,10094745,-1,2,3,21,2,1,9,0,14,4,3,0,1
76,0,-1,0,0,0,12,10094802,-1,1,25,0,3,1,2,1,9,0,2,0,2
