TIMETOWK,GCDWORK,TRIPPURP,WHYTO,WKFMHMXX,DRIVER,WRKTRANS,NWALKTRP,HHSIZE,WHYTRP1S,WHYFROM,NBIKETRP,R_AGE,CNTTDTR,WRKCOUNT,URBRUR,HHFAMINC,WEBUSE,WEBUSE.1,HOUSEID,PERSONID,HHFAMINC2
-1,-9.0,2,2,0,0,0,10,2,1,0,0,56,8,0,0,4,5,1,30024242,2,0
-1,-9.0,2,3,0,0,0,10,2,2,3,0,56,8,0,0,4,5,1,30024242,2,0
35,18.46,4,12,0,0,2,7,2,8,0,0,59,1,1,0,5,1,0,30026380,1,2
-1,-9.0,4,13,0,0,3,7,1,8,0,0,31,4,1,0,5,1,0,30026753,1,2
-1,-9.0,1,7,0,0,3,7,1,3,13,0,31,4,1,0,5,1,0,30026753,1,2
-1,-9.0,1,2,0,0,3,7,1,1,7,0,31,4,1,0,5,1,0,30026753,1,2
-1,-9.0,2,3,0,0,3,7,1,2,3,0,31,4,1,0,5,1,0,30026753,1,2
50,12.56,4,12,0,0,1,5,4,8,0,0,38,3,2,0,2,1,0,30027254,1,0
50,12.56,1,7,0,0,1,5,4,3,12,0,38,3,2,0,2,1,0,30027254,1,0
50,12.56,2,3,0,0,1,5,4,2,7,0,38,3,2,0,2,1,0,30027254,1,0
10,0.86,3,8,0,0,5,5,4,4,0,0,39,8,2,0,2,1,0,30027254,2,0
10,0.86,1,8,0,0,5,5,4,4,8,0,39,8,2,0,2,1,0,30027254,2,0
10,0.86,1,17,0,0,5,5,4,7,8,0,39,8,2,0,2,1,0,30027254,2,0
10,0.86,3,3,0,0,5,5,4,2,17,0,39,8,2,0,2,1,0,30027254,2,0
10,0.86,0,4,0,0,5,5,4,0,0,0,39,8,2,0,2,1,0,30027254,2,0
10,0.86,0,3,0,0,5,5,4,2,4,0,39,8,2,0,2,1,0,30027254,2,0
10,0.86,4,12,0,0,5,5,4,8,0,0,39,8,2,0,2,1,0,30027254,2,0
10,0.86,4,3,0,0,5,5,4,2,12,0,39,8,2,0,2,1,0,30027254,2,0
-1,-9.0,3,8,0,1,0,3,4,4,0,2,6,4,2,0,2,1,0,30027254,3,0
-1,-9.0,1,14,0,1,0,3,4,6,8,2,6,4,2,0,2,1,0,30027254,3,0
-1,-9.0,1,18,0,1,0,3,4,6,14,2,6,4,2,0,2,1,0,30027254,3,0
-1,-9.0,3,3,0,1,0,3,4,2,18,2,6,4,2,0,2,1,0,30027254,3,0
-1,-9.0,4,12,0,0,3,0,2,8,0,0,71,4,1,1,3,1,0,30027416,1,2
-1,-9.0,1,2,0,0,3,0,2,1,12,0,71,4,1,1,3,1,0,30027416,1,2
-1,-9.0,1,12,0,0,3,0,2,8,3,0,71,4,1,1,3,1,0,30027416,1,2
-1,-9.0,4,3,0,0,3,0,2,2,12,0,71,4,1,1,3,1,0,30027416,1,2
-1,-9.0,3,11,0,0,0,0,2,7,0,3,69,2,1,1,3,1,0,30027416,2,2
